#{"t_start": 1631174923.24162, "env_id": null}
r,l,t
-151.249157,1500,62.405493
-145.144014,1500,120.061133
-146.603364,1500,177.952602
422.08705,720,205.753257
63.700877,1500,263.443484
158.42323,1500,321.360447
151.940496,1500,379.338106
0.133888,1500,437.152487
29.849138,1500,494.928136
-142.12095,1500,552.597598
-254.826866,895,588.650208
312.180986,1500,646.392192
207.348137,733,674.597565
524.762184,1500,732.916184
275.619363,1500,790.84121
267.940633,1500,848.95967
-70.290436,1500,906.767747
-136.113378,1500,964.404956
-160.507096,1500,1022.40435
-134.030321,1500,1080.171463
-130.397051,1500,1138.332977
-140.43465,1500,1196.328503
-160.50701,1500,1254.258017
-167.588859,1500,1311.805254
-166.496984,1500,1370.876094
-145.037586,1500,1428.814821
-142.318228,1500,1487.187754
-165.431282,1500,1545.471723
-159.529246,1500,1603.461409
-132.728313,1500,1661.565863
-149.66598,1500,1719.532204
-153.434473,1500,1780.348713
-157.012227,1500,1840.124848
-161.410452,1500,1898.894161
-153.378124,1500,1956.691933
-130.165115,1500,2014.569016
-143.739966,1500,2072.542851
-151.007243,1500,2130.498645
-138.242584,1500,2188.420271
-141.173913,1500,2246.424948
-167.195919,1500,2304.68786
-132.299047,1500,2362.672606
-167.742519,1500,2420.354751
-159.267867,1500,2479.754741
-133.96837,1500,2537.443642
-152.809209,1500,2596.002613
-141.573163,1500,2654.475255
-156.142349,1500,2713.133649
-139.706266,1500,2771.519051
-155.855337,1500,2829.557858
-128.135176,1500,2887.71412
-160.016852,1500,2945.768549
-164.431299,1500,3005.875431
-160.513561,1500,3064.375977
-139.021417,1500,3122.677303
-152.098585,1500,3181.413211
-142.932503,1500,3239.53497
-160.812451,1500,3297.712555
-129.415096,1500,3355.450183
-144.169513,1500,3414.130353
-150.903253,1500,3474.301474
